,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,trip_type,congestion_surcharge,taxi_type
131,2023-01-01 01:04:05,2023-01-01 01:24:33,66,61,1.0,3.8,15.5,0.5,1.5,0.0,0.0,,17.5,2.0,1.0,0.0,green_taxi
132,2023-01-01 02:28:20,2023-01-01 02:42:14,66,80,1.0,3.5,17.7,1.0,1.5,6.06,0.0,,26.26,1.0,1.0,0.0,green_taxi
133,2023-01-01 02:06:48,2023-01-01 02:27:09,145,223,1.0,4.12,24.0,1.0,0.5,0.0,0.0,,26.5,2.0,1.0,0.0,green_taxi
134,2023-01-01 02:50:52,2023-01-01 03:04:43,255,181,1.0,6.39,26.8,1.0,0.5,8.79,0.0,,38.09,1.0,1.0,0.0,green_taxi
135,2023-01-01 02:23:49,2023-01-01 02:31:14,166,41,1.0,1.18,9.3,1.0,0.5,0.0,0.0,,11.8,2.0,1.0,0.0,green_taxi
136,2023-01-01 02:36:03,2023-01-01 02:42:39,41,151,1.0,1.53,9.3,1.0,0.5,0.0,0.0,,11.8,2.0,1.0,0.0,green_taxi
137,2023-01-01 02:16:55,2023-01-01 02:22:07,42,41,1.0,1.1,7.2,1.0,1.5,0.0,0.0,,9.7,1.0,1.0,0.0,green_taxi
138,2023-01-01 02:29:20,2023-01-01 02:38:19,42,244,1.0,1.9,10.7,1.0,1.5,0.0,0.0,,13.2,2.0,1.0,0.0,green_taxi
139,2023-01-01 02:18:51,2023-01-01 02:30:33,255,112,1.0,1.75,12.1,1.0,0.5,0.0,0.0,,14.6,2.0,1.0,0.0,green_taxi
140,2023-01-01 02:08:19,2023-01-01 02:19:49,195,231,1.0,4.29,19.1,1.0,0.5,4.87,0.0,,29.22,1.0,1.0,2.75,green_taxi
141,2023-01-01 02:27:13,2023-01-01 02:47:12,66,37,1.0,3.5,21.2,1.0,0.5,4.0,0.0,,27.7,1.0,1.0,0.0,green_taxi
142,2023-01-01 02:07:45,2023-01-01 02:19:33,52,97,1.0,1.7,12.1,1.0,0.5,4.38,0.0,,18.98,1.0,1.0,0.0,green_taxi
143,2023-01-01 02:33:55,2023-01-01 02:56:39,112,17,1.0,4.29,24.0,1.0,0.5,0.0,0.0,,26.5,2.0,1.0,0.0,green_taxi
